,Player,height,weight,collage,born,birth_city,birth_state
2418,Loren Meyer,208,116,Iowa State University,1972,Emmetsburg,Iowa
2419,Lawrence Moten,196,83,Syracuse University,1972,Washington,District of Columbia
2420,Todd Mundt,213,113,Delta State University,1970,Iowa City,Iowa
2421,Howard Nathan,180,79,University of Louisiana at Monroe,1972,Peoria,Illinois
2422,Ed O'Bannon,203,100,"University of California, Los Angeles",1972,Los Angeles,California
2423,Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas
2424,Cherokee Parks,196,95,Idaho State University,1973,,
2425,Theo Ratliff,208,102,University of Wyoming,1973,Demopolis,Alabama
2426,Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas
2427,Don Reid,203,113,Georgetown University,1973,Washington,District of Columbia
2428,Terrence Rencher,190,83,University of Texas at Austin,1973,Bronx,New York
2429,Shawn Respert,185,88,Michigan State University,1972,Detroit,Michigan
2430,Lou Roe,201,99,University of Massachusetts Amherst,1972,Atlantic City,New Jersey
2431,Stefano Rusconi,206,108,,1968,Bassanod'Grappa,Italy
2432,Arvydas Sabonis*,221,126,,1964,Kaunas,Lithuania
2433,Joe Smith,213,106,University of Southern Colorado,1944,Columbus,Mississippi
2434,Eric Snow,190,86,Michigan State University,1973,Canton,Ohio
2435,Jerry Stackhouse,198,98,University of North Carolina,1974,Kinston,North Carolina
2436,Damon Stoudamire,178,77,University of Arizona,1973,Portland,Oregon
2437,Bob Sura,196,90,Florida State University,1973,Wilkes-Barre,Pennsylvania
2438,Larry Sykes,206,115,Xavier University,1973,Toledo,Ohio
2439,Kurt Thomas,206,104,Texas Christian University,1972,Dallas,Texas
2440,Gary Trent,203,113,Ohio University,1974,Columbus,Ohio
2441,Logan Vander,203,97,University of Wisconsin-Green Bay,1971,Valders,Wisconsin
2442,David Vaughn,211,99,Oral Roberts University,1952,Nashville,Tennessee
2443,Rasheed Wallace,208,102,University of North Carolina,1974,Philadelphia,Pennsylvania
2444,Jeff Webster,203,105,University of Oklahoma,1971,Pine Bluff,Arkansas
2445,Dwayne Whitfield,206,108,Jackson State University,1972,Aberdeen,Mississippi
2446,Eric Williams,203,99,Providence College,1972,Newark,New Jersey
2447,Corliss Williamson,188,86,Oklahoma State University,1970,Twiggs,Georgia
2448,George Zidek,213,113,"University of California, Los Angeles",1973,Zlin,Czech Republic
2449,Shareef Abdur-Rahim,206,102,University of California,1976,Marietta,Georgia
2450,Ray Allen,203,99,Florida State University,1965,Milton,Florida
2451,Shandon Anderson,198,94,University of Georgia,1973,Atlanta,Georgia
2452,Dexter Boney,193,83,"University of Nevada, Las Vegas",1970,Wilmington,Delaware
2453,Bruce Bowen,201,83,"California State University, Fullerton",1971,Merced,California
2454,Mark Bradtke,208,120,,1968,Adelaide,Australia
2455,Marcus Brown,190,83,Murray State University,1974,West Memphis,Arkansas
2456,Kobe Bryant,198,96,,1978,Philadelphia,Pennsylvania
2457,Marcus Camby,211,99,University of Massachusetts Amherst,1974,Hartford,Connecticut
2458,Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University,1969,El Paso,Texas
2459,Erick Dampier,211,120,Mississippi State University,1975,Jackson,Mississippi
2460,Ben Davis,206,108,University of Arizona,1972,Vero Beach,Florida
2461,Emanual Davis,193,88,Delaware State University,1968,Philadelphia,Pennsylvania
2462,Tony Delk,185,85,University of Kentucky,1974,Covington,Tennessee
2463,Aleksandar Djordjevic,188,89,,1967,Belgrade,Serbia
2464,Nate Driggers,196,97,University of Montevallo,1973,Chicago,Illinois
2465,Brian Evans,203,99,Indiana University,1973,Rockford,Illinois
2466,Jamie Feick,206,115,Michigan State University,1974,Lexington,Ohio
2467,Derek Fisher,185,90,University of Arkansas at Little Rock,1974,Little Rock,Arkansas
2468,Todd Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
2469,Dean Garrett,208,102,Indiana University,1966,Los Angeles,California
2470,Reggie Geary,188,84,University of Arizona,1973,Trenton,New Jersey
2471,Devin Gray,201,108,Clemson University,1972,Baltimore,Maryland
2472,Evric Gray,201,106,"University of Nevada, Las Vegas",1969,Bloomington,California
2473,Darvin Ham,201,99,Texas Tech University,1973,Saginaw,Michigan
2474,Steve Hamer,213,111,University of Tennessee,1973,Memphis,Tennessee
2475,Othella Harrington,206,106,Georgetown University,1974,Jackson,Mississippi
2476,Michael Hawkins,183,80,Xavier University,1972,Canton,Ohio
2477,Shane Heal,183,81,,1970,Melbourne,Australia
2478,Mark Hendrickson,206,99,Washington State University,1974,Mount Vernon,Washington
2479,Allen Iverson*,183,74,Georgetown University,1975,Hampton,Virginia
2480,Kerry Kittles,196,81,Villanova University,1974,Dayton,Ohio
2481,Travis Knight,213,106,University of Connecticut,1974,Salt Lake City,Utah
2482,Priest Lauderdale,224,147,Central State University,1973,Chicago,Illinois
2483,Randy Livingston,193,94,Louisiana State University,1975,New Orleans,Louisiana
2484,Horacio Llamas,211,129,Grand Canyon University,1973,El Rosario,Mexico
2485,Matt Maloney,190,87,University of Pennsylvania,1971,Silver Spring,Maryland
2486,Stephon Marbury,188,81,Georgia Institute of Technology,1977,Brooklyn,New York
2487,Walter McCarty,208,104,University of Kentucky,1974,Evansville,Indiana
2488,Amal McCaskill,211,106,Marquette University,1973,Maywood,Illinois
2489,Jeff McInnis,193,86,University of North Carolina,1974,Charlotte,North Carolina
2490,Martin Muursepp,206,106,,1974,Tallinn,Estonia
2491,Steve Nash,190,88,Santa Clara University,1974,Johannesburg,South Africa
2492,Ruben Nembhard,190,94,Weber State University,1972,Bronx,New York
2493,Gaylon Nickerson,190,86,Northwestern Oklahoma State University,1969,Osecola,Arkansas
2494,Moochie Norris,185,79,University of West Florida,1973,Washington,District of Columbia
2495,Jermaine O'Neal,211,102,,1978,Columbia,South Carolina
2496,Ray Owes,206,101,University of Arizona,1972,San Bernardino,California
2497,Vitaly Potapenko,208,127,Wright State University,1975,Kiev,Ukraine
2498,Chris Robinson,196,90,Western Kentucky University,1974,Columbus,Georgia
2499,Roy Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
2500,Malik Rose,201,113,Drexel University,1974,Philadelphia,Pennsylvania
2501,Kevin Salvadori,213,104,University of North Carolina,1970,Wheeling,West Virginia
2502,Jason Sasser,201,102,Texas Tech University,1974,Denton,Texas
2503,Brent Scott,208,113,Rice University,1971,Jackson,Michigan
2504,James Scott,198,81,St. John's University,1972,Paterson,New Jersey
2505,Shawnelle Scott,208,113,St. John's University,1972,New York,New York
2506,Stevin Smith,201,90,Michigan State University,1969,Highland Park,Michigan
2507,Matt Steigenga,201,102,Michigan State University,1970,Grand Rapids,Michigan
2508,Joe Stephens,201,95,University of Arkansas at Little Rock,1973,Riverside,California
2509,Erick Strickland,190,95,University of Nebraska,1973,Opelika,Alabama
2510,Brett Szabo,211,104,Augustana College (SD),1968,Postville,Iowa
2511,Antoine Walker,193,86,Niagara University,1955,Long Island City,New York
2512,Samaki Walker,206,108,University of Louisville,1976,Columbus,Ohio
2513,Ben Wallace,206,108,Virginia Union University,1974,White Hall,Alabama
2514,John Wallace,203,102,Syracuse University,1974,Rochester,New York
2515,Donald Whiteside,178,72,Northern Illinois University,1969,Chicago,Illinois
2516,Jerome Williams,206,93,Georgetown University,1973,Washington,District of Columbia
2517,Lorenzen Wright,188,92,Colorado State University,1945,Newark,New Jersey
2518,Tariq Abdul-Wahad,198,101,San Jose State University,1974,Maisons Alfort,France
2519,Derek Anderson,196,87,University of Kentucky,1974,Louisville,Kentucky
2520,Chris Anstey,213,112,,1975,Melbourne,Australia
2521,Drew Barry,196,86,Georgia Institute of Technology,1973,Oakland,California
2522,Tony Battie,211,104,Texas Tech University,1976,Dallas,Texas
2523,Chauncey Billups,190,91,University of Colorado,1976,Denver,Colorado
2524,Etdrick Bohannon,206,99,Auburn University at Montgomery,1973,San Bernardino,California
2525,Keith Booth,198,102,University of Maryland,1974,Baltimore,Maryland
2526,Rick Brunson,193,86,Temple University,1972,Syracuse,New York
2527,Kelvin Cato,211,115,Iowa State University,1974,Atlanta,Georgia
2528,Keith Closs,221,96,Central Connecticut State University,1976,Hartford,Connecticut
2529,James Collins,193,88,Florida State University,1973,Jacksonville,Florida
2530,James Cotton,201,90,University of Wyoming,1924,Miles City,Montana
2531,Chris Crawford,206,106,Marquette University,1975,Kalamazoo,Michigan
2532,Austin Croshere,206,106,Providence College,1975,Los Angeles,California
2533,William Cunningham,211,113,Temple University,1974,Augusta,Georgia
2534,Antonio Daniels,193,88,Bowling Green State University,1975,Columbus,Ohio
2535,Tim Duncan,211,113,Wake Forest University,1976,St. Croix,U.S. Virgin Islands
2536,Tony Farmer,206,110,University of Nebraska,1970,Los Angeles,California
2537,Danny Fortson,201,117,University of Cincinnati,1976,Philadelphia,Pennsylvania
2538,Adonal Foyle,208,113,Colgate University,1975,Canouan,Saint Vincent and the Grenadines
2539,Lawrence Funderburke,206,104,Ohio State University,1970,Columbus,Ohio
2540,Chris Garner,178,70,University of Memphis,1975,Memphis,Tennessee
2541,Kiwane Garris,188,83,University of Illinois at Urbana-Champaign,1974,Chicago,Illinois
2542,Ed Gray,190,95,University of California,1975,Riverside,California
2543,Derek Grimm,206,104,University of Missouri,1974,Peoria,Illinois
2544,Reggie Hanson,203,88,University of Kentucky,1968,Charlotte,North Carolina
2545,Jerald Honeycutt,206,111,Tulane University,1974,Shreveport,Louisiana
2546,Troy Hudson,185,77,Southern Illinois University,1976,Carbondale,Illinois
2547,Zydrunas Ilgauskas,221,107,,1975,Kaunas,Lithuania
2548,Bobby Jackson,185,83,University of Minnesota,1973,East Spencer,North Carolina
2549,Anthony Johnson,196,97,University of Portland,1932,Los Angeles,California
2550,Dontae' Jones,203,99,Mississippi State University,1975,Nashville,Tennessee
2551,Brevin Knight,178,78,Stanford University,1975,Livingston,New Jersey
2552,Rusty LaRue,188,95,Wake Forest University,1973,Winston-Salem,North Carolina
2553,Jason Lawson,211,108,Villanova University,1974,Philadelphia,Pennsylvania
2554,Michael McDonald,208,105,University of New Orleans,1969,Longview,Texas
2555,Tracy McGrady,203,95,,1979,Bartow,Florida
2556,Ron Mercer,201,95,University of Kentucky,1976,Nashville,Tennessee
2557,Marko Milic,198,106,,1977,Kranj,Slovenia
2558,Jeff Nordgaard,201,102,University of Wisconsin-Green Bay,1973,Dawson,Minnesota
2559,Charles O'Bannon,196,94,"University of California, Los Angeles",1975,Bellflower,California
2560,Kevin Ollie,193,88,University of Connecticut,1972,Dallas,Texas
2561,Anthony Parker,198,97,Bradley University,1975,Naperville,Illinois
2562,Scot Pollard,211,120,University of Kansas,1975,Murray,Utah
2563,Mark Pope,208,106,University of Kentucky,1972,Omaha,Nebraska
2564,Rodrick Rhodes,198,102,University of Southern California,1973,Jersey City,New Jersey
2565,Shea Seals,196,95,University of Tulsa,1975,Tulsa,Oklahoma
2566,God Shammgod,183,76,Providence College,1976,New York,New York
2567,Kebu Stewart,203,108,"California State University, Bakersfield",1973,Brooklyn,New York
2568,Michael Stewart,208,104,University of California,1975,Cucq-Trepied-Stella-Plage,France
2569,Ed Stokes,213,119,University of Arizona,1971,Syracuse,New York
2570,Johnny Taylor,206,99,University of Tennessee at Chattanooga,1974,Chattanooga,Tennessee
2571,Maurice Taylor,206,117,University of Michigan,1976,Detroit,Michigan
2572,John Thomas,198,92,Marquette University,1948,Canton,Georgia
2573,Tim Thomas,208,104,Villanova University,1977,Paterson,New Jersey
2574,Keith Van,208,104,,1977,,
2575,Jacque Vaughn,185,86,University of Kansas,1975,Los Angeles,California
2576,Eric Washington,193,86,University of Alabama,1974,Pearl,Mississippi
2577,Bubba Wells,196,104,Austin Peay State University,1974,Russellville,Kentucky
2578,DeJuan Wheat,183,74,University of Louisville,1973,Louisville,Kentucky
2579,Alvin Williams,198,90,Drake University,1948,,
2580,Brandon Williams,198,97,Davidson College,1975,Collinston,Louisiana
2581,Travis Williams,198,97,South Carolina State University,1969,Columbia,South Carolina
2582,Peter Aluma,208,117,Liberty University,1973,Lagos,Nigeria
2583,Toby Bailey,198,96,"University of California, Los Angeles",1975,Los Angeles,California
2584,LaMark Baker,185,79,Ohio State University,1969,Dayton,Ohio
2585,Corey Benjamin,198,90,Oregon State University,1978,Compton,California
2586,Mike Bibby,185,86,University of Arizona,1978,Cherry Hill,New Jersey
2587,Earl Boykins,165,61,Eastern Michigan University,1976,Cleveland,Ohio
2588,Gerald Brown,198,86,Wayne State University,1935,,
2589,Cory Carr,190,95,Texas Tech University,1975,Fordyce,Arkansas
2590,Vince Carter,198,99,University of North Carolina,1977,Daytona Beach,Florida
2591,Keon Clark,211,99,"University of Nevada, Las Vegas",1975,Danville,Illinois
2592,Kornel David,206,106,,1971,Hungary,
2593,Ricky Davis,198,88,University of Iowa,1979,Las Vegas,Nevada
2594,Michael Dickerson,196,86,University of Arizona,1975,Greenville,South Carolina
2595,Michael Doleac,211,118,University of Utah,1977,San Antonio,Texas
2596,Bryce Drew,188,83,Valparaiso University,1974,Baton Rouge,Louisiana
2597,Marlon Garnett,188,84,Santa Clara University,1975,Los Angeles,California
2598,Pat Garrity,206,107,University of Notre Dame,1976,Las Vegas,Nevada
2599,Paul Grant,213,111,University of Wisconsin,1974,Pittsburgh,Pennsylvania
2600,Matt Harpring,201,104,Georgia Institute of Technology,1976,Cincinnati,Ohio
2601,Al Harrington,206,104,,1980,Orange,New Jersey
2602,J.R. Henderson,206,104,,1980,,
2603,Larry Hughes,196,83,Saint Louis University,1979,St. Louis,Missouri
2604,Randell Jackson,188,86,"University of California, Los Angeles",1962,Los Angeles,California
2605,Sam Jacobson,193,97,University of Minnesota,1975,Cottage Grove,Minnesota
2606,Jerome James,213,136,Florida Agricultural and Mechanical University,1975,Tampa,Florida
2607,Antawn Jamison,203,101,University of North Carolina,1976,Shreveport,Louisiana
2608,Damon Jones,190,83,University of Houston,1976,Galveston,Texas
2609,Jonathan Kerner,211,111,East Carolina University,1974,Atlanta,Georgia
2610,Gerard King,183,79,University of Charleston,1928,Charleston,West Virginia
2611,Raef LaFrentz,211,108,University of Kansas,1976,Hampton,Iowa
2612,Rashard Lewis,198,90,La Salle University,1963,Philadelphia,Pennsylvania
2613,Felipe Lopez,196,90,St. John's University,1974,Santo Domingo,Dominican Republic
2614,Tyronn Lue,183,79,University of Nebraska,1977,Mexico,Missouri
2615,Sean Marks,208,113,University of California,1975,Auckland,New Zealand
2616,Kelly McCarty,201,90,University of Southern Mississippi,1975,Chicago,Illinois
2617,Jelani McCoy,208,111,"University of California, Los Angeles",1977,Oakland,California
2618,Roshown McLeod,203,100,Duke University,1975,Jersey City,New Jersey
2619,Brad Miller,211,110,Purdue University,1976,Fort Wayne,Indiana
2620,Cuttino Mobley,193,86,University of Rhode Island,1975,Philadelphia,Pennsylvania
2621,Nazr Mohammed,208,100,University of Kentucky,1977,Chicago,Illinois
2622,Mikki Moore,211,102,University of Nebraska,1975,Orangeburg,South Carolina
2623,Makhtar N'Diaye,203,111,University of North Carolina,1973,Dakar,Senegal
2624,Tyrone Nesby,198,102,"University of Nevada, Las Vegas",1976,Cairo,Illinois
2625,Rasho Nesterovic,213,112,,1976,Ljubljana,Slovenia
2626,Dirk Nowitzki,213,111,,1978,Wurzburg,Germany
2627,Michael Olowokandi,213,122,University of the Pacific,1975,Lagos,Nigeria
2628,Andrae Patterson,206,107,Indiana University,1975,Riverside,California
2629,Ruben Patterson,196,101,University of Cincinnati,1975,Cleveland,Ohio
2630,Paul Pierce,201,106,University of Kansas,1977,Oakland,California
2631,Casey Shaw,211,117,University of Toledo,1975,Lebanon,Ohio
2632,Jeffrey Sheppard,190,86,University of Kentucky,1974,Marietta,Georgia
2633,Miles Simon,190,91,University of Arizona,1975,Stockholm,Sweden
2634,Alvin Sims,193,106,University of Louisville,1974,Paris,Kentucky
2635,Brian Skinner,206,115,Baylor University,1976,Temple,Texas
